origin,destination,scgraph_time_optimized_distance_km,scgraph_time_optimized_time_seconds,scgraph_time_optimized_duration_seconds,osmnx_time_optimized_distance_km,osmnx_time_optimized_time_seconds,osmnx_time_optimized_duration_seconds,scgraph_distance_optimized_distance_km,scgraph_distance_optimized_time_seconds,scgraph_distance_optimized_duration_seconds,osmnx_distance_optimized_distance_km,osmnx_distance_optimized_time_seconds,osmnx_distance_optimized_duration_seconds,google_distance_km,google_time_seconds,google_duration_seconds
Union Square,Tufts University,3.509454530855438,326.5884545308555,0.0007479190826416016,3.3124457884876914,326.39562672781494,0.044829368591308594,3.509454530855438,326.392,0.0007479190826416016,3.3124457884876914,326.39562672781494,0.030576705932617188,3.566,923,0.11080813407897949
Union Square,Cambridge City Hall,3.1227987539995308,315.4037987539996,0.0007219314575195312,3.102378060035251,315.38676034481097,0.04554009437561035,2.968798753999532,318.87899999999996,0.0006618499755859375,2.9493224460451684,318.8789230126319,0.031579017639160156,3.796,871,0.11552309989929199
Inman Square,Central Square,0.9816078205669517,92.39860782056695,0.00029587745666503906,0.9498137245755979,92.41138448898438,0.04407095909118652,0.9816078205669517,92.366,0.00023412704467773438,0.9498137245755979,92.41138448898438,0.027938127517700195,1.211,363,0.10323882102966309
Inman Square,Davis Square,3.722191444044544,359.0171914440446,0.00095367431640625,3.6947296304064356,359.02974087732343,0.04370307922363281,3.722191444044544,358.98900000000003,0.0009281635284423828,3.6947296304064356,359.02974087732343,0.034044742584228516,4.298,1015,0.10033321380615234
Inman Square,Porter Square,2.465981404237172,224.8989814042372,0.0005810260772705078,2.4313701594250405,224.90943064498163,0.04136824607849121,2.465981404237172,224.865,0.0005967617034912109,2.4313701594250405,224.90943064498163,0.030867815017700195,3.086,652,0.10643506050109863
Inman Square,Union Square,2.119773351883806,207.2257733518838,0.0004990100860595703,2.093498061923129,207.24761823646674,0.04116392135620117,2.119773351883806,207.202,0.0004551410675048828,2.093498061923129,207.24761823646674,0.029458045959472656,2.81,807,0.10824799537658691
Inman Square,MIT,1.9749881810941998,181.26298818109422,0.0004279613494873047,1.9169948695072876,181.2477308896919,0.04081320762634277,1.8129881810942001,185.509,0.00036787986755371094,1.7550471784855812,185.5568463494636,0.028291940689086914,2.157,557,0.10732603073120117
Inman Square,Tufts University,5.366418487452542,491.9734184874526,0.0011436939239501953,5.163854628269625,491.8211529896299,0.04776430130004883,5.241418487452542,508.536,0.0011279582977294922,5.042173435241184,508.5771655726112,0.035418033599853516,6.443,1557,0.1021571159362793
Inman Square,Cambridge City Hall,1.1027627105966347,109.88176271059662,0.00022220611572265625,1.0829161932139482,109.90688136084522,0.037734270095825195,1.0247627105966348,112.04199999999997,0.0001506805419921875,1.0042961383704816,112.08693527469319,0.027179956436157227,1.009,249,0.09529781341552734
MIT,Central Square,1.1028586931802433,100.83085869318025,0.0001437664031982422,1.0372154808875793,103.18471033095344,0.035836219787597656,1.1028586931802433,100.766,0.00010895729064941406,1.0372154808875793,103.18471033095344,0.027008056640625,1.01,229,0.10974431037902832
MIT,Davis Square,5.632442316657838,536.3074423166578,0.0010442733764648438,5.57132697335882,536.2404616905496,0.05017495155334473,5.470442316657838,540.5519999999999,0.0009748935699462891,5.409379282337114,540.5495771503213,0.03809499740600586,5.896,1230,0.11491727828979492
MIT,Porter Square,4.3762322768504625,402.1892322768503,0.0009453296661376953,4.307967502377423,402.1201514582078,0.051355838775634766,4.2142322768504625,406.4279999999998,0.0007920265197753906,4.146019811355716,406.4292669179795,0.03738093376159668,4.422,888,0.10412812232971191
MIT,Union Square,3.920024224497097,340.87502422449717,0.0006651878356933594,3.8652378122364643,340.81642910301554,0.07093191146850586,3.6050242244970967,369.6379999999999,0.0005848407745361328,3.5474853390667143,369.6403797387463,0.03277277946472168,3.998,1082,0.12219595909118652
MIT,Inman Square,1.9749881810942003,181.26298818109424,0.0004999637603759766,1.9169948695072874,181.2477308896919,0.04279661178588867,1.8129881810942001,185.50900000000001,0.00038504600524902344,1.755047178485581,185.5568463494636,0.028806209564208984,2.084,540,0.1053459644317627
MIT,Tufts University,6.962669360065833,593.0966693600659,0.0011179447174072266,6.72964026092849,592.8659026039492,0.04782533645629883,6.8516693600658325,654.2099999999998,0.0011429786682128906,6.617841905413208,654.2139144919095,0.03830075263977051,7.779,1793,0.1304628849029541
MIT,Cambridge City Hall,1.2700135832099264,119.94401358320992,0.0003058910369873047,1.2160808313429883,122.31047437431083,0.045578956604003906,1.2700135832099264,119.891,0.00024700164794921875,1.2160808313429883,122.31047437431083,0.0286710262298584,1.202,273,0.09795713424682617
Tufts University,Central Square,6.424288999538583,563.7302889995384,0.001035928726196289,6.218435624440021,563.5289657667431,0.04682803153991699,6.034288999538581,585.4759999999997,0.0010039806365966797,5.827210876043713,585.469461043858,0.0374910831451416,6.71,1430,0.12505292892456055
Tufts University,Davis Square,1.6368726230161792,154.24987262301616,0.00024819374084472656,1.4367439973455682,154.04914195208264,0.04386401176452637,1.6368726230161792,154.04899999999998,0.0001659393310546875,1.4367439973455682,154.04914195208264,0.027940034866333008,1.568,350,0.10077500343322754
Tufts University,Porter Square,2.881662583208804,270.4196625832089,0.0003039836883544922,2.6720598552860935,270.2111206329184,0.0393071174621582,2.7656625832088033,271.20400000000006,0.0002689361572265625,2.557483530191127,271.20072869698276,0.029532909393310547,3.015,737,0.10191726684570312
Tufts University,Union Square,3.5564545308554387,320.6444545308554,0.0004038810729980469,3.36124019392252,320.45104950371166,0.04093599319458008,3.5564545308554387,320.4479999999999,0.0003921985626220703,3.36124019392252,320.45104950371166,0.0302579402923584,3.566,880,0.10768699645996094
Tufts University,Inman Square,5.6524184874525405,491.4864184874525,0.0008697509765625,5.453205186454671,491.33678474495497,0.0460207462310791,5.117418487452539,497.056,0.0008373260498046875,4.917794678023024,497.09508663133937,0.034789085388183594,5.324,1180,0.10837697982788086
Tufts University,MIT,7.09766936006583,625.4986693600661,0.001154184341430664,6.870341828362076,625.2703032366331,0.050231218338012695,6.865669360065829,678.6189999999998,0.0011098384857177734,6.632444329953697,678.6149229043373,0.04301285743713379,7.72,1668,0.11512494087219238
Tufts University,Cambridge City Hall,5.986443889568267,577.8214438895682,0.0010991096496582031,5.791011741231116,577.6232974337724,0.05620718002319336,5.862443889568264,579.953,0.0010228157043457031,5.667681014377195,579.946254671976,0.04309821128845215,6.518,1391,0.10528302192687988
Cambridge City Hall,Central Square,0.20563322268267725,19.151633222682676,9.608268737792969e-05,0.17886535045540863,19.1257640433574,0.03896188735961914,0.20563322268267725,19.125,4.8160552978515625e-05,0.17886535045540863,19.1257640433574,0.030044078826904297,0.192,39,0.09187889099121094
Cambridge City Hall,Davis Square,4.326216846160271,444.4642168461603,0.0009732246398925781,4.304396489990755,444.43681953838274,0.048274993896484375,4.325216846160271,445.04600000000005,0.0008349418640136719,4.303755038662122,445.65899992776633,0.04237008094787598,4.694,956,0.10569190979003906
Cambridge City Hall,Porter Square,3.136006806352896,315.2740068063529,0.0007379055023193359,3.1092851750829222,315.24278198370615,0.05294513702392578,3.1350068063528957,315.85,0.0006368160247802734,3.108643723754289,316.4649623730897,0.04312300682067871,3.22,614,0.09811782836914062
Cambridge City Hall,Union Square,3.058798753999532,298.5827987539995,0.0007271766662597656,3.0375938503638866,298.5655633016122,0.08194494247436523,3.058798753999532,298.56499999999994,0.00066375732421875,3.0375938503638866,298.5655633016122,0.0388798713684082,4.741,1137,0.10644888877868652
Cambridge City Hall,Inman Square,1.1487627105966347,111.51176271059663,0.00019478797912597656,1.1286790750310065,111.53714853234177,0.036896705627441406,1.1487627105966347,111.491,0.0001583099365234375,1.1286790750310065,111.53714853234177,0.0297391414642334,2.387,482,0.12670612335205078
Cambridge City Hall,MIT,1.2700135832099262,122.3630135832099,0.0003209114074707031,1.2160808313429883,122.31047437431083,0.03869485855102539,1.2700135832099262,122.30999999999999,0.00025200843811035156,1.2160808313429883,122.31047437431083,0.031008005142211914,1.202,276,0.09919095039367676
Cambridge City Hall,Tufts University,6.305443889568268,583.3304438895682,0.0010938644409179688,6.1079504167103815,583.1390980547754,0.04829001426696777,5.872443889568267,594.9109999999998,0.001132965087890625,5.680165283130476,595.5245713609992,0.03978705406188965,6.577,1519,0.1056060791015625
